text,emotion
la verdad es que estoy muy apagado y sin energia y quisiera que no fuera así,triste
desde ayer todo me afecta demasiado y no se que hacer,triste
ultimamente me di cuenta que nadie me busca si yo no busco pero bueno,triste
oye hoy fue un dia muy chévere y me tiene mal,feliz
parce tengo miedo de que me vaya mal en las parciales,miedo
es que siento que no tengo proposito y no puedo evitarlo,triste
es que me da terror mostrarme como soy de verdad y no se que hacer,miedo
te juro que me quitaron el like y eso me bajo el animo y me tiene pensando mucho,triste
ahora mismo no duermo de la preocupacion y es agotador,miedo
oye me dejaron hacer todo el trabajo solo de verdad,enojo
no se me dicen que me esfuerce mas cuando ya doy todo pero bueno,enojo
es que me siento muy desconectado de todo y de todos de verdad,triste
no te miento me trataron diferente a los demas,enojo
hoy me siento solo aunque este rodeado de gente pero bueno,triste
la verdad el partido de colombia salio bien y ya,feliz
es que estoy muy preocupado y con miedo y no puedo calmarlo,miedo
estoy rodeado de gente y me siento solo de verdad,triste
te juro que siento que no le importo a nadie de verdad y no puedo evitarlo,triste
en serio me dijeron que me quieren y eso me pesa,feliz
ultimamente tengo panico de fallar frente a todos y me afecta mucho,miedo
oye mi familia se fue a vivir lejos y me siento solo,triste
sinceramente no aguanto mas y me afecta mucho,enojo
oye el medico me dijo que necesita hablar conmigo sinceramente,miedo
te juro que usaron mis ideas sin darme credito y no es facil,enojo
no te miento me puse muy feliz con eso parce y nadie lo sabe,feliz
parce hoy amaneci con toda la actitud y no puedo evitarlo,feliz
la verdad me encontre plata en un bolsillo que no sabia y me afecta,feliz
estoy muy apenado por todo lo que perdí de verdad,triste
ahora mismo me duele el alma y necesito que alguien me entienda,triste
ultimamente me dicen que exagero cuando digo como me siento,enojo
mira lo que paso mi grupo de trabajo funciono muy bien,feliz
fijate que todo cambio de golpe y no puedo evitarlo,triste
realmente estoy demasiado cansado desde hace dias,triste
bro hoy descanse bien por primera vez en mucho tiempo,feliz
en serio me da terror decepcionar a alguien que confio en mi y no se como manejarlo,miedo
ultimamente no se si actue bien y eso no me deja tranquilo y me tiene agotado,miedo
estoy muy apagado y sin energia y me duele mucho,triste
sinceramente hoy todo el transporte me funciono perfecto men,feliz
mira siento que las cosas mejoran y es agotador,feliz
