text,emotion
sinceramente me siento muy triste todo el tiempo,triste
desde ayer me siento excelente hoy por todo lo que paso,feliz
lo que pasa es que eso que hiciste estuvo muy feo,enojo
siento que ya no tengo fuerzas para nada y me duele mucho,triste
ahora mismo estoy muy contento por todo lo que paso,feliz
en este momento esto me molesta demasiado esta semana,enojo
te juro que me enferma tu comportamiento y punto,enojo
de verdad me cansa tu falta de madurez y no lo entiendo,enojo
honestamente no tolero mas esta situacion,enojo
en serio me tienes harto de verdad sin excusas,enojo
ahora mismo me da demasiada rabia otra vez,enojo
hoy esto me molesta demasiado en este momento,enojo
tengo una angustia enorme en este momento de verdad,miedo
te juro que no puedo creer lo que hiciste de verdad,enojo
realmente todo me irrita en este momento,enojo
en este momento tengo panico y eso me preocupa,miedo
me alegra mucho el resultado final,feliz
de verdad estoy muy bajoneado sin poder levantarme de verdad,triste
es que que falta de respeto tan grande,enojo
sinceramente esto me molesta demasiado esta semana,enojo
te juro que me da una bronca tremenda y no lo voy a tolerar,enojo
te digo que tengo miedo de no poder salir adelante y me tiene muy nervioso,miedo
en serio siento que perdi algo muy importante de verdad,triste
ahora mismo me siento increible en este momento,feliz
realmente me siento inseguro ultimamente,miedo
sinceramente me entristece mucho esta situacion y no se como seguir,triste
me siento muy decaido en este momento,triste
estoy muy agradecido por todo,feliz
siento una tristeza que me invade todo y no lo puedo superar,triste
ultimamente tengo ansiedad y me afecta mucho,miedo
lo que pasa es que no aguanto mas esta situacion y no lo entiendo,enojo
en serio estoy harto de esto otra vez,enojo
hoy que alegria me da ver tus logros en serio,feliz
realmente nada tiene sentido y no se que hacer,triste
hoy estoy muy emocionado con esto y no lo puedo creer,feliz
oye que situacion tan frustrante esta sin excusas,enojo
hoy me siento inseguro otra vez,miedo
ahora mismo odio esta situacion ultimamente,enojo
me siento muy solo y sin apoyo y quisiera que no fuera así,triste
sinceramente estoy muy asustado y no se que hacer,miedo
desde ayer me siento furioso,enojo
me cansas con tanta excusa sin excusas,enojo
lo que es cierto es que que dia tan especial fue hoy para mi y estoy muy contento,feliz
desde ayer estoy demasiado preocupado esta semana,miedo
la verdad todo salio mal y no se que hacer,triste
ultimamente me siento nervioso todo el tiempo,miedo
me da pavor la incertidumbre que siento,miedo
siento panico cada vez que pienso en eso,miedo
ultimamente me siento increible desde hace dias,feliz
desde ayer todo esta funcionando bien por todo lo que paso,feliz
hoy que buenas noticias me llegaron hoy y estoy muy contento,feliz
de verdad estoy lleno de energia y alegria,feliz
desde ayer estoy agradecido por todo otra vez,feliz
en este momento estoy muy preocupado y no puedo dormir,miedo
hoy ya no aguanto mas y estoy cansado,enojo
sinceramente me aterra la idea de perder todo y eso me preocupa mucho,miedo
que felicidad tan grande siento ahora sin duda,feliz
lo que pasa es que siento que nada tiene sentido ahora y me duele mucho,triste
